STATION,LOCAL_NUM,RIVER,LOCATION,EASTING,NORTHING,NGR,SQ_KM,HA,OPERATOR,OPENED,CLOSED,ALTITUDE,TYPE,BF_FLOW,SF_FLOW,SENSITIVITY,NHMP,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,FAR,FEH_POOLING,FEH_QMED,FEH_NEITHER,START_YEAR,END_YEAR,GDF_COMPLETENESS,MEAN_FLOW,MIN_FLOW,MAX_FLOW,Q95,Q70,Q50,Q10,BASE_FLOW_INDEX,SAAR6190,SAAR4170,PROPWET,SMDBAR,BFIHOST,FARL,HIGH_PERM_BED,MOD_PERM_BED,LOW_PERM_BED,HIGH_PERM_SUP,LOW_PERM_SUP,MIXED_PERM_SUP,MIN_ALT,ALT_10_PERCENTILE,ALT_50_PERCENTILE,ALT_90_PERCENTILE,MAX_ALT,WOODLAND,ARABLE_HORT,GRASS,MOUNTAIN_HEATH_BOG,URBAN,DPSBAR,QMED
39020,0660TH,Coln,Bibury,412100,206200,SP121470,106.7,39,EA-T,23012,,100.6,C,,,20.8,YES,YES,YES,GE,YES,YES,NO,1963,2015,100,1.397,0.19,7.312,0.403,0.687,1.1,2.72,0.93,820,819,0.33,,0.858,0.968,87.600782,0,12.399218,0,0,0,100.6,142.5,193.6,259.3,329.8,16.20066,40.7335,39.80153,0,0.007,76.8,3.61
81002,133171,Cree,Newton Stewart,241300,565300,NX412666,368,81,SEPA-SW,23012,,4.8,VA,330,,7.6,YES,YES,YES,N,YES,YES,NO,1963,2015,100,15.816,0.138,248.1,1.055,4.112,8.266,39.56,0.28,1760,1716,0.69,,0.341,0.932,0,0,100,1.805652,14.366151,38.122011,4.8,65.6,211.6,450.8,838.2,49.41126,0.324912,39.50417,8.956934,0.002,118.7,226.806
